=== TBS ===
Tatal ap jobs: 127
For TA16, New deadline: 371 + 20 = 391
clock 296: T2, server deadline:391
clock 297: T2, server deadline:391
clock 298: T2, server deadline:391
clock 299: T2, server deadline:391
clock 300: T3, server deadline:391
clock 301: T2, server deadline:391
clock 302: T2, server deadline:391
clock 303: T2, server deadline:391
clock 304: T7, server deadline:391
clock 305: T7, server deadline:391
clock 306: T7, server deadline:391
clock 307: T7, server deadline:391
clock 308: TA16, server deadline:391
clock 309: TA16, server deadline:391
clock 310: TA16, server deadline:391
clock 311: TA16, server deadline:391
TA16 finishs: 153 ~ 312
Current total_response_time: 993
For TA17, New deadline: 391 + 20 = 411
clock 312: T8, server deadline:411
clock 313: T8, server deadline:411
clock 314: T8, server deadline:411
clock 315: T3, server deadline:411
clock 316: T8, server deadline:411
clock 317: T8, server deadline:411
clock 318: T8, server deadline:411
clock 319: T8, server deadline:411
clock 320: T8, server deadline:411
clock 321: T8, server deadline:411
clock 322: T8, server deadline:411
clock 323: T8, server deadline:411
clock 324: T8, server deadline:411
clock 325: T8, server deadline:411
clock 326: T8, server deadline:411
clock 327: T8, server deadline:411
clock 328: T8, server deadline:411
clock 329: T8, server deadline:411
clock 330: T3, server deadline:411
clock 331: T8, server deadline:411
clock 332: T8, server deadline:411
clock 333: T8, server deadline:411
clock 334: T8, server deadline:411
clock 335: T8, server deadline:411
clock 336: T6, server deadline:411
clock 337: T6, server deadline:411
clock 338: T6, server deadline:411
clock 339: T6, server deadline:411
clock 340: T8, server deadline:411
clock 341: T8, server deadline:411
clock 342: TA17, server deadline:411
clock 343: TA17, server deadline:411
clock 344: TA17, server deadline:411
clock 345: T3, server deadline:411
clock 346: TA17, server deadline:411
TA17 finishs: 163 ~ 347
Current total_response_time: 1177
For TA18, New deadline: 411 + 10 = 421
clock 347: TA18, server deadline:421
clock 348: TA18, server deadline:421
TA18 finishs: 171 ~ 349
Current total_response_time: 1355
For TA19, New deadline: 421 + 20 = 441
clock 349: T5, server deadline:441
clock 350: T5, server deadline:441
clock 351: T5, server deadline:441
clock 352: T5, server deadline:441
clock 353: T5, server deadline:441
clock 354: TA19, server deadline:441
clock 355: TA19, server deadline:441
clock 356: TA19, server deadline:441
clock 357: TA19, server deadline:441
TA19 finishs: 177 ~ 358
Current total_response_time: 1536
For TA20, New deadline: 441 + 35 = 476
clock 358: TA20, server deadline:476
clock 359: TA20, server deadline:476
clock 360: T3, server deadline:476
clock 361: TA20, server deadline:476
clock 362: TA20, server deadline:476
clock 363: TA20, server deadline:476
clock 364: TA20, server deadline:476
clock 365: TA20, server deadline:476
TA20 finishs: 189 ~ 366
Current total_response_time: 1713
For TA21, New deadline: 476 + 25 = 501
clock 366: T10, server deadline:501
clock 367: T10, server deadline:501
clock 368: T10, server deadline:501
clock 369: T10, server deadline:501
clock 370: T2, server deadline:501
clock 371: T2, server deadline:501
clock 372: T2, server deadline:501
clock 373: T2, server deadline:501
clock 374: T2, server deadline:501
clock 375: T3, server deadline:501
clock 376: T2, server deadline:501
clock 377: T2, server deadline:501
clock 378: T10, server deadline:501
clock 379: T10, server deadline:501
clock 380: T10, server deadline:501
clock 381: T10, server deadline:501
clock 382: T10, server deadline:501
clock 383: T10, server deadline:501
clock 384: T6, server deadline:501
clock 385: T6, server deadline:501
clock 386: T6, server deadline:501
clock 387: T6, server deadline:501
clock 388: T7, server deadline:501
clock 389: T7, server deadline:501
clock 390: T3, server deadline:501
clock 391: T7, server deadline:501
clock 392: T7, server deadline:501
clock 393: T10, server deadline:501
clock 394: T10, server deadline:501
clock 395: T10, server deadline:501
clock 396: T10, server deadline:501
clock 397: T10, server deadline:501
clock 398: T10, server deadline:501
